ID,SEVERITY,CATEGORY,TITLE,LOCATION,REPRODUCIBILITY,EXPECTED,ACTUAL,ROOT_CAUSE_STATUS,IMPACT,EVIDENCE,DEPENDENCY,RECOMMENDED_FIX_ORDER,STATUS
P1-API-002,P1,API,getAuditTrail silently returns empty list on 404,liveApi.ts:636-648,ALWAYS in dev environment,Audit trail shows officer actions,404 response returns empty array — officer sees blank audit trail without knowing it failed,CONFIRMED,Officer cannot verify chain-of-custody; evidence trail appears empty,liveApi.ts:639-641 Known dev gap comment,,3,OPEN
P1-API-003,P1,API,Render free-tier cold start causes 30-60s timeout and triggers mock fallback,server.py:170-185 keepalive task,ALWAYS after 15min idle,Backend responds within HTTP timeout,Cold start exceeds fetch timeout → network error → P0-INT-001 triggers MOCK fallback,CONFIRMED,Demo reliability risk; first API call after idle always fails to live backend,server.py:177 keepalive every 10 min prevents but does not eliminate cold start,,3,OPEN
P1-SEC-001,P1,SECURITY,CORS wildcard with allow_credentials=True is browser-rejected per spec,server.py:201-207,ALWAYS (cross-origin requests),Explicit origin whitelist with credentials,allow_origins=* with allow_credentials=True violates CORS spec — browsers reject cross-origin credentialed requests,CONFIRMED,Cross-origin authenticated requests may fail; actual frontend-backend communication reliability depends on whether same-origin or cross-origin,server.py:203 allow_origins=[*] with allow_credentials=True,,4,OPEN
P1-DB-001,P1,DATABASE,compliance_evaluations schema mismatches frontend InspectionCase type,DB schema vs ui-combined/src/types/inspection.ts,ALWAYS,DB fields map cleanly to frontend types,DB: rule_legal_citation vs frontend: statutory_reference; DB: penalty_provision vs frontend: legal_consequence; DB lacks evidence_box/field_type/finding_id,CONFIRMED,Real compliance evaluations from live backend cannot be correctly displayed without transformation layer,compliance_evaluations PRAGMA schema vs mockData.ts fields,,3,OPEN
P1-FE-001,P1,FRONTEND,submitFindingAdjudication returns hardcoded officer data (see P0-MOCK-003),liveApi.ts:624-633,ALWAYS,Officer's authenticated identity used,Hardcoded officer_id: INSP-DL-0842 and officer_name: Rajesh Sharma — not from JWT claims,RESOLVED with P0-MOCK-003: hardcoded officer identity fabrication removed from live adapter.,All per-finding adjudications attribute decisions to wrong hardcoded officer,liveApi.ts:627-631,,1,RESOLVED
P1-FE-002,P1,FRONTEND,REAL-PKG-01 to REAL-PKG-08 image paths hardcoded in frontend,liveApi.ts:377-398,CONDITION-DEPENDENT (file path contains real-pkg-XX),Image URL comes from backend response,Hardcoded /storage/uploads/REAL-PKG-0X_barcode.jpg paths override backend-provided URLs,CONFIRMED,If files don't exist at hardcoded paths in deployment — broken images; if backend has different path — ignored,liveApi.ts:377-398,,2,OPEN
P1-FE-003,P1,FRONTEND,isDemoId() matches ins-2026-* prefix which could hit real inspection IDs,api.ts:190,CONDITION-DEPENDENT,Only unambiguous demo IDs intercepted,Any ID starting with ins-2026- (lowercase) routes to mock for adjudication/audit/closure even in LIVE mode,CONFIRMED,Real inspections with IDs matching pattern would have mock adjudication results,api.ts:190 lower.startsWith(ins-2026-),,2,OPEN
P2-API-001,P2,API,verifyAuditChain error returns chain_intact:false indistinguishable from actual failure,liveApi.ts:731-749,CONDITION-DEPENDENT,Error surfaced as network error to UI,Network errors return {chain_intact:false total_audit_records:0} — same as genuine chain failure,CONFIRMED,Officers cannot distinguish temporary network issue from actual Merkle chain corruption,liveApi.ts:740-748 catch block,,3,OPEN
P2-DB-001,P2,DATABASE,workflow_status not in inspections schema — approximated from overall_status,liveApi.ts:221-222,ALWAYS,Separate workflow_status state machine tracked,Mapping: overall_status===PENDING_REVIEW ? PENDING_REVIEW : COMPLETED — loses REVIEW/UNABLE_TO_VERIFY states,CONFIRMED,Inspection list may show wrong workflow state for reviews and unverifiable images,liveApi.ts:221-222,,3,OPEN
P2-BE-001,P2,BACKEND,Pipeline adapters fail silently — no startup warning when degraded,server.py:140-150,CONDITION-DEPENDENT (adapter import fails),Startup log warns of degraded mode,CentralPipelineAdapter=None and LegalMetrologyRuleEngine=None set silently on ImportError; server starts normally,CONFIRMED,System appears healthy but pipeline is running on fixtures; operator cannot detect degradation,server.py:142-150 except ImportError: ... = None,,2,OPEN
P2-BE-002,P2,BACKEND,VITE_API_BASE_URL fallback to /api/v1 fails on cross-origin deployments,liveApi.ts:39,ALWAYS on separate Vercel+Render deployment,Build fails or env var enforced if not set,liveApi.ts falls back to /api/v1 relative path — fails when frontend on different origin than backend,CONFIRMED,Frontend deployed to Vercel cannot reach backend on Render without correct env var,liveApi.ts:39 || /api/v1,,4,OPEN
P2-DOC-001,P2,DOCUMENTATION,FINAL_END_TO_END_SYSTEM_AUDIT.md falsely claims 100% VERIFIED PRODUCTION READY,FINAL_END_TO_END_SYSTEM_AUDIT.md:8,—,Document accurately reflects system state,File header: Final Status: 100% VERIFIED CRYPTOGRAPHICALLY SECURE PRODUCTION READY — contradicted by P0 findings,CONFIRMED,Misleading status assessment may prevent timely remediation of critical issues,FINAL_END_TO_END_SYSTEM_AUDIT.md line 8,,1,OPEN
P2-DOC-002,P2,DOCUMENTATION,HARDCODED_AND_FAKE_RESULT_AUDIT.md falsely claims all mocks neutralized,HARDCODED_AND_FAKE_RESULT_AUDIT.md,—,Document accurately reflects mock audit results,File claims all mock fallbacks neutralized — contradicted by P0-INT-001 P0-MOCK-001 through P0-MOCK-003,CONFIRMED,Creates false confidence that mock contamination was resolved,HARDCODED_AND_FAKE_RESULT_AUDIT.md line 2,,1,OPEN
P3-DOC-001,P3,DOCUMENTATION,LEGAL_RULE_VALIDATION_REPORT.md is empty (80 bytes),LEGAL_RULE_VALIDATION_REPORT.md,—,Legal rule validation documented,File contains no content — critical deliverable for statutory enforcement system,CONFIRMED,No documented evidence that legal rules were validated against actual LMPC Rules 2011 thresholds,File size 80 bytes,,5,OPEN
P3-DEPLOY-001,P3,DEPLOYMENT,Work on non-canonical branch kunal-testing-branch,Git branch,—,Work on feat/m1-cv-metrology or dev branch,Branch kunal-testing-branch does not appear in AGENTS.md approved branch list,CONFIRMED,Changes may not be integrated into main delivery branches per AGENTS.md Section 10,git branch --show-current,,5,OPEN
EU-001,UNVERIFIED,ACCESSIBILITY,Accessibility not tested at browser level,ui-combined,—,WCAG 2.1 AA compliance,No browser-level accessibility testing performed in this diagnostic pass,"PARTIAL (2026-09-12): desktop browser functional pass executed via Chrome+Playwright (login, dashboard, new-inspection upload, workspace, evidence dossier BUG-04/06/07 regressions verified live). Full WCAG audit matrix still open.",Unknown — may have a11y violations,—,,—,PARTIALLY VERIFIED
EU-002,UNVERIFIED,MOBILE,Mobile responsive behavior not tested at browser level,ui-combined,—,Responsive layout on mobile form factors,No browser-level mobile testing performed,"PARTIAL: desktop browser pass only; responsive matrix per REAL_OFFICER_WORKFLOW_AUDIT.md section 4 (prior session), not re-run in this pass.",Unknown,—,,—,PARTIALLY VERIFIED
EU-003,UNVERIFIED,AUTH,Login page flow and JWT refresh not fully traced,server.py + ui-combined,—,Proper login flow with JWT management,auth.py not fully inspected; login page existence and JWT refresh not verified,UNVERIFIED,Unknown — may have auth session management issues,—,,—,PENDING_INVESTIGATION
EU-004,UNVERIFIED,OCR,Actual OCR accuracy on real product images not tested,backend ONNX models,—,PP-OCRv4 correctly reads text from real Indian packaging,No direct OCR model execution on real images performed in this diagnostic pass,UNVERIFIED,Unknown — may have accuracy gaps for diverse Indian packaging styles,—,,—,PENDING_MODEL_TESTING
