ENDPOINT,METHOD,FRONTEND_CALLER,BACKEND_ROUTE,BACKEND_FILE,BACKEND_LINE,LIVE_IMPLEMENTATION,DEMO_INTERCEPTION,MOCK_FALLBACK,EXPECTED_RESPONSE,ACTUAL_RESPONSE_LIVE,ACTUAL_RESPONSE_MOCK,STATUS,ISSUES
/api/v1/inspections/{id}/findings/{fId}/adjudicate,PATCH (or client-side),api.ts:331-350 → liveApi.ts,NOT FOUND in server.py (no finding-level adjudication route),server.py,N/A,NO — does not exist,YES (INS-2026-* → mock),NOT APPLICABLE (never reaches live),FindingAdjudication persisted to DB,NEVER CALLED — liveApi.ts returns fabricated local object,Mock FindingAdjudication object,BROKEN,"P0-MOCK-003: submitFindingAdjudication in LiveApiService has no HTTP call — returns hardcoded officer data locally. Evidence never persisted."
/api/v1/inspections/{id}/case-readiness,GET,api.ts:374-392 → liveApi.ts,NOT IN server.py (client-side computation),liveApi.ts,651-653,NO — computed locally,YES (INS-2026-* → mock),NOT APPLICABLE,CaseReadinessChecklist,Local computation using computeCaseReadiness() from mockData.ts,Mock computeCaseReadiness(),RISKY,"P1-FE-001: LiveApiService imports computeCaseReadiness from mockData.ts — all case readiness uses mock data logic even in LIVE mode."
/api/v1/inspections/{id}/audit-trail,GET,api.ts:353-371 → liveApi.ts,app.get /api/v1/inspections/{id}/audit-trail,server.py,1686-1728,YES,YES (INS-2026-* → mock),YES (404 → empty list silently),AuditEvent[],Real audit events or empty list if 404,Mock audit event timeline,RISKY,"P1-API-002: 404 returns silent empty list. P1-FE-003: INS-2026-* goes to mock."
/api/v1/inspections/{id}/close,POST,api.ts:419-429 → liveApi.ts,MISSING IN server.py,server.py,N/A — route not present,NO — route missing,YES (INS-2026-* → mock),YES (404 → fallback to PATCH adjudicate with CLOSE_INSPECTION_COMPLIANT),InspectionCase with closed status,Workaround: PATCH /adjudicate with wrong action_order,Mock close simulation,BROKEN,"P1-API-001: Route does not exist. Workaround substitutes adjudicate for close — different legal action."
/api/v1/inspections/{id}/generate-notice,POST,api.ts:447-456 → liveApi.ts,app.post /api/v1/notices/generate,server.py,1730-1876,YES,YES (INS-2026-* → mock),NO (throws on failure),LegalNoticeResult with PDF path,Real Form-1 PDF generated,Mock LegalNoticeResult with fake PDF path,RISKY,"P1-FE-003: INS-2026-* goes to mock. Real notice generation unverified for live flow."
/api/v1/notices/{id}/pdf,GET,api.ts:467-480 → liveApi.ts,app.get /api/v1/notices/{id}/pdf,server.py,1878-1903,YES,NO,NO,PDF file download,Real PDF file from storage,N/A,OK — route exists,Unverified whether actual Form-1 PDF content is correct
/api/v1/inspections/{id}/evidence-dossier,GET,EvidenceDossier.tsx (inferred),app.get /api/v1/inspections/{id}/evidence-dossier,server.py,1444-1516,YES,NO,NO,Evidence bundle with all assets,Real evidence dossier from DB,N/A,OK — route exists,Unverified for real live inspections
/api/v1/audit/chain-verify,GET,liveApi.ts:731-749,app.get /api/v1/audit/chain-verify,server.py,1940-1956,YES,NO,YES (any error → chain_intact:false),{chain_intact total_audit_records},Real chain verification,"P2-API-001: Error returns {chain_intact:false} indistinguishable from actual failure",RISKY,P2-API-001 — silent failure masking
/api/v1/dashboard/summary,GET,api.ts:111-121 → liveApi.ts,app.get /api/v1/dashboard/summary,server.py,1905-1938,YES,YES (DEMO_FIXTURE → mock),YES (LIVE failure → mock silently),DashboardSummary,Real statistics from live DB,Mock MOCK_DASHBOARD_SUMMARY (synthetic counts),RISKY,P0-INT-001: Silent mock fallback on live failure

LEGEND
LIVE_IMPLEMENTATION: YES = actual HTTP call to backend implemented; CONDITIONAL = depends on import success; NO = not implemented
DEMO_INTERCEPTION: YES = isDemoId() or mode routing intercepts before live call; NO = always goes live
MOCK_FALLBACK: YES = catch block silently falls to MockApiService; NO = throws error
STATUS: OK=works correctly; RISKY=works but with dangerous silent fallbacks; BROKEN=does not work correctly; CONDITIONAL=depends on environment
