ID,SEVERITY,CATEGORY,TITLE,LOCATION,REPRODUCIBILITY,EXPECTED,ACTUAL,ROOT_CAUSE_STATUS,IMPACT,EVIDENCE,DEPENDENCY,RECOMMENDED_FIX_ORDER,STATUS
DIAG-011,P1,AUTH,Frontend authentication is decorative: default user injected; password ignored; no route guards,ui-combined/src/context/AuthContext.tsx:104-129; App.tsx:23-29; Login.tsx:27/83; liveApi.ts:77-90,ALWAYS,Unauthenticated users blocked from workstation routes,Default inspector user preloaded; login always returns ok:true; hardcoded Demo@123/Officer@2026; backend auto-login with hardcoded creds; /review-queue reachable by any role,ROOT CAUSE CONFIRMED,Any visitor acts as officer; RBAC unauditable,Live: /dashboard rendered signed-in officer without ever logging in,DIAG-003,3,OPEN
DIAG-012,P1,AUTH,Backend authorization from unsigned claims only; no revocation; no separation of duties,members/member-05-evidence/src/auth.py:182-215/186-196; server.py adjudicate allows INSPECTOR,CONDITION-DEPENDENT,Deactivated officer blocked; inspector cannot self-adjudicate,Claims-only UserContext without DB lookup; 8h tokens; NYAYADRISHTI_ALLOW_ANON_LOCAL anon identity; same inspector uploads and adjudicates evidence; no jurisdiction scoping on reads,ROOT CAUSE CONFIRMED,Compromised token stays valid 8h after deactivation; self-adjudication risk,Code review,DIAG-003,4,OPEN
DIAG-013,P1,API,Upload endpoint ignores top-level inspection_id form field and forks an orphan case,members/member-05-evidence/src/server.py:502-511 (reads meta JSON only),ALWAYS for documented-style multipart,Image attaches to the referenced inspection,New Unlabeled Sample inspection auto-created; original case left without images,ROOT CAUSE CONFIRMED,Silent case forking; contract undocumented,Live: upload with valid insp_2fd6fc23 produced orphan insp_71a0e8da,-,5,OPEN
DIAG-014,P1,PERFORMANCE,Pipeline synchronous in-request; OCR engine and ONNX sessions rebuilt per call; no timeouts,members/member-05-evidence/src/server.py:1032-1034; engine.py:49-50; fallback.py:36,ALWAYS,Sub-1800ms target (README); pooled engines,Measured avg 3.13s over 75 real images (max 9.97s; watch 5.12s); pytesseract without timeout can hang a worker,ROOT CAUSE CONFIRMED,Field officer latency; thread starvation risk,Batch latency stats; README 1800ms budget,-,6,OPEN
DIAG-015,P1,DATABASE,SQLite concurrency unconfigured; audit ledger race can break chain of custody,members/member-05-evidence/src/database.py:386-387/303-315; server.py:1188-1209,CONDITION-DEPENDENT (concurrent writes),Serialized writes; atomic verdict+audit,check_same_thread only (no WAL/timeout); SELECT max(sequence) race; verdict committed before audit entry (non-atomic),ROOT CAUSE STRONGLY INDICATED,Mode B multi-officer lock errors; broken audit chain; unrecorded verdicts,Code review; 366-row mode_b in active multi-process use,DIAG-016,7,OPEN
DIAG-016,P1,INTEGRATION,Mode B to central sync never functions (ack without import),members/member-05-evidence/src/server.py:1987-2032; DB synced_to_central,ALWAYS,Field cases upload to central store,All 366 mode_b inspections have synced_to_central=0; sync-bundle responds success without persisting bundle,ROOT CAUSE CONFIRMED,Offline fieldwork silently lost; zero-data-loss claim false,Live DB query; frontend never calls the endpoint,DIAG-001,3,OPEN
DIAG-017,P1,FRONTEND,Finding-level officer adjudication never persisted in LIVE mode,ui-combined/src/services/liveApi.ts:638-647,ALWAYS,Per-finding CONFIRM/DISMISS recorded to backend,Fabricated response without HTTP call; UI shows success,ROOT CAUSE CONFIRMED,Officer decisions silently lost; audit incomplete,Code review,DIAG-021,3,OPEN
DIAG-018,P1,FRONTEND,Dead controls: Reports download; Save Draft; unreachable modal; field-confirm log only,ui-combined/src/pages/Reports.tsx:21-28; features/case/CaseWorkspace.tsx:238-241/931-933; pages/Inspections.tsx:12/37/54,ALWAYS,Downloads produce files; notes persist,Click flashes success message with no fetch and no file; modal cannot open (setter only false),ROOT CAUSE CONFIRMED,Officers believe records saved when nothing stored,Live click test: no network request no download,DIAG-020,7,OPEN
DIAG-019,P1,FRONTEND,Dashboard KPIs computed from first page only; fabricated trend and confidence,ui-combined/src/pages/Dashboard.tsx:99-108/242-244; liveApi.ts:221-226,ALWAYS with >50 cases,True totals across all inspections,Total 50 (page size) vs 75 created vs 366 in DB; +12% this week fabricated; violations 26 vs 38 actual; confidence column hardcoded PASS .98/FAIL .95/REVIEW .74/UNABLE .42,ROOT CAUSE CONFIRMED,Misleading enforcement statistics for supervisors,Live dashboard numbers vs batch ground truth,DIAG-020,7,OPEN
DIAG-020,P1,FRONTEND,Client-side legal computation and fabricated statutory values in production UI,mockApi.ts:553-653 (TS rule engine); EvidenceDossier.tsx:484-500 (invented 0.088 scale); CaseWorkspace.tsx:478-498/512-527/912 (invented measurements/conflict/empty-string sha),ALWAYS in mock paths and live fallbacks,Rules evaluated only by backend,React components compute Rule verdicts; invent 2.1mm/3.0mm defaults; display fabricated MRP conflict and sha256-of-empty as evidence hash,ROOT CAUSE CONFIRMED,Legal conclusions generated outside certified engine,Code review contradicting inspection.ts:8-9 own invariant,DIAG-001,3,OPEN
DIAG-021,P1,API,Frontend-backend contract mismatches fabricate displayed fields,ui-combined/src/services/liveApi.ts:221-226/337/346-348/410-413/606-616; server.py:1382/1416-1434,ALWAYS on live data,UI shows only backend-provided values,violations_count hardcoded 0; created_at fabricated as now; workflow_status ADJUDICATED outside union; quality defaults 340/0.8/1.2; adjudication officer_id INSP-DL-0842; fabricated ArUco overlay box [78,78,242,242]; blur threshold shown 150 vs enforced 100,ROOT CAUSE CONFIRMED,Officers see synthesized values as measurements,Code cross-check; live case render (ArUco label on ISO_7810_CARD calibration),DIAG-020,5,OPEN
DIAG-022,P1,LEGAL,Temporal epoch defects: USP mandate from 2021-11-02; malformed dates to oldest epoch; REVIEW band 0.08mm vs ADL-17 0.30mm,members/member-04-rule-engine/src/evaluators.py:41/535-552,CONDITION-DEPENDENT,Frozen: USP after 2022-01-01; plus/minus 0.30mm review routing,Packs made Nov-Dec 2021 wrongly failed; 15/03/2023 style strings route pre-2017 (USP skipped); 0.08-0.30mm deficits convicted as FAIL,ROOT CAUSE CONFIRMED,False violations at statutory boundary; adjudication-band mismatch,Code + tests vs AGENTS.md section 11 and ADL-17,DIAG-010,4,OPEN
DIAG-023,P1,LEGAL,Untraceable sanction schedule on Form-1 PDF; liters valid-banned contradiction; citation drift,members/member-04-rule-engine/src/evaluators.py:660-772/186-194; parsers.py:229 vs 52; notice_generator.py:181-182/234-235/285-287,ALWAYS when triggered,Only frozen Gazette numbers and amounts,Rupee 25k/50k/1L caps + 14-day cure + Section 36(1) proviso doctrine appear in no frozen doc; litres simultaneously valid and banned; Rule 6(1)(da)/(f)/(11) citations conflict with frozen docs,ROOT CAUSE CONFIRMED,Zero Assumption Policy violation; penalties on court documents untraceable,Repo grep; PHASE_1 dossier assigns 6(1)(da) to best-before,DIAG-007,4,OPEN
DIAG-024,P1,DOCUMENTATION,UI re-asserts banned 8.0mm claim and untraceable GSR 594(E),ui-combined/src/components/common/StatutorySurveillanceTicker.tsx:57-58; CommandPalette.tsx:210-211; GovFooter.tsx:72; StatutoryOmnibox.tsx:135-150; demoCatalog.ts:336,ALWAYS (production copy),ADL-01: 6.0mm never 8.0mm; only frozen GSRs,Ticker states 8.0mm applicable for blown glass; GSR 594(E) absent from frozen specs,ROOT CAUSE CONFIRMED,Statutory misinformation displayed to officers,UI copy vs ADL-01 and CLAIMS blacklist,-,4,OPEN
DIAG-025,P1,EXTRACTION,Net quantity parsed from wrong text (postal code and mirrored text),members/member-03-extraction/src/extractor.py:600-612 (standalone candidate),ALWAYS on affected layouts,Net qty only from declaration text,Delhi-1l0052 -> 1.0 L on earbuds; mirrored 00LZ 008L/6L -> 8.0 L on watch; both passed banned-unit check and RULE_06_1_F presence check,ROOT CAUSE CONFIRMED,Absurd statutory values presented with high confidence,Live pipeline extractions on 2 products,DIAG-010,2,OPEN
DIAG-026,P1,AI/OCR,Real-data pipeline produces zero passes: OCR gaps and unresolved calibration,extractor.py; calibration.py (ArUco gate); batch live run,ALWAYS on current dataset,Meaningful verdicts on real packaging,0/75 PASS (38 FAIL 37 UNABLE); calibration UNRESOLVED on 64/75 (no ArUco in field photos); mirrored/rotated text unhandled,ROOT CAUSE STRONGLY INDICATED,System cannot complete a real field inspection successfully,batch_results.jsonl (75 runs via live API),DIAG-008 DIAG-025 DIAG-027,2,OPEN
DIAG-027,P1,BACKEND,Hardcoded PDP constants returned regardless of image; internal area contradiction,members/member-05-evidence/src/server.py:1220-1225,ALWAYS,Principal display panel from real segmentation,Always 280.0/112.0/40.0/[120,80,1850,1020] while same response font rule cites PDP 263.5 cm2,ROOT CAUSE CONFIRMED,Area-band inputs to Table-I untrustworthy near boundaries,Live watch response containing both values,-,2,OPEN
DIAG-028,P1,EVIDENCE,Local-runner demo endpoints write inspections and BSA certificates without auth or audit,integration/test_ui/test_ui_server.py:84-537 (route on port 8000),CONDITION-DEPENDENT (local_runner serve mode),Demo artifacts segregated and audited,Unauthenticated demo run creates statutory-structured certificates with signature sha256(OFFICER_DL_0842:root) and no audit ledger entry,ROOT CAUSE CONFIRMED,Certificates indistinguishable from real in DB; 78 STATION-01-MAC certs in mode_b,Code + DB serial distribution,DIAG-004,4,OPEN
DIAG-029,P1,BACKEND,Upload validation gaps: PDF accepted as evidence image; full body read before size check; metadata silently discarded,members/member-05-evidence/src/server.py:496-508; storage.py:31/97-100,ALWAYS,Only photographic raster evidence; bounded memory,25-byte fake PDF stored as evidence with passed quality metrics; read() before cap; malformed JSON metadata dropped to empty dict,ROOT CAUSE CONFIRMED,Evidence integrity; memory DoS vector,Live upload of fake.pdf returned SUCCESS,DIAG-009,5,OPEN
DIAG-030,P1,FRONTEND,Duplicate sources of truth for mode; module-global mutable stores leak across sessions,api.ts:46-48 vs Header.tsx:67-68/83; mockData.ts:2045 dynamicCases; liveApi.ts:43-52 artifact cache; CaseWorkspace.tsx:91-99 last_case_id,ALWAYS,Single mode flag; per-case state isolation,nyayadrishti_operating_mode vs nyayadrishti_mode diverge after auto-failover; dynamicCases never reset (resetMockCases zero callers); artifact cache unbounded,ROOT CAUSE CONFIRMED,Stale and cross-case contamination in UI,Code review,DIAG-001,5,OPEN
DIAG-031,P1,FRONTEND,Mock mode can silently adjudicate and generate notices against fabricated cases,ui-combined/src/services/mockApi.ts:300/656-661/969-1006; CaseWorkspace.tsx:154-166,ALWAYS in MOCK/OFFLINE,Adjudication blocked for non-certified data,Client scenario pre-selection by product name (water=PASS soap=REVIEW chips=UNABLE else=FAIL) determines outcome; notice ref and merkle fabricated; audit chain verification returns hardcoded true,ROOT CAUSE CONFIRMED,Fabricated legal lifecycle completed entirely in browser,Code review; offline probe rendered full case workspace,DIAG-001 DIAG-020,1,OPEN
DIAG-032,P2,DOCUMENTATION,Superlative readiness claims contradicted by repo own data (5 reports) plus 7 stub audit files,FINAL_END_TO_END_SYSTEM_AUDIT.md:8; FINAL_PRODUCT_READINESS_REPORT.md:8; REAL_SKU_TEST_MATRIX.csv (0/75 PASS); 7 stub md files under 200 bytes,ALWAYS,Reports reflect verified reality,100% VERIFIED/PRODUCTION READY vs 0 passes; 63 vs 75 images; 993ms vs 2784ms; test totals 570/415/391/384 mutually exclusive; invented endpoint catalog and ArUco 6x6_250; MFA and WCAG 100% claims; SQLCipher unimplemented; test_hud.html missing,ROOT CAUSE CONFIRMED,Judge and reviewer credibility risk; false audit trail,Docs audit E1-E22 register,-,8,OPEN
DIAG-033,P2,ACCESSIBILITY,Dialogs lack focus trap and Escape; non-focusable clickable rows; small touch targets,NewInspection.tsx:774-828; Dashboard.tsx:516-519/594-597; ConnectivityBadge.tsx:96-102,ALWAYS,WCAG 2.1 AA per docs,div onClick rows not keyboard reachable; dialogs plain divs; sub-44px buttons,ROOT CAUSE CONFIRMED,Officer exclusion; GIGW compliance gap,Code review; no axe artifacts in repo,-,9,OPEN
DIAG-034,P2,PERFORMANCE,Health endpoint re-verifies entire audit chain per call; ilike scans on unindexable payload,server.py:333/1363-1368/2003-2008,ALWAYS,Constant-time health,Full-table SHA-256 recompute per health poll; LIKE %id% scans,ROOT CAUSE CONFIRMED,Load amplification under monitoring,Code review,-,9,OPEN
DIAG-035,P2,DEPLOYMENT,Deployment configuration gaps: CORS wildcard; two divergent Vercel configs; storage paths not proxied,server.py:201-207; vercel.json (root and ui-combined); nginx.conf:31-42,CONDITION-DEPENDENT,Explicit origins; single build path; evidence reachable,allow_origins * with credentials; root build-root.cjs vs ui-combined build; backend storage paths 404 behind Vercel/nginx for raw file_path values,ROOT CAUSE CONFIRMED,Deployed frontend cannot render some real evidence paths,Config review,DIAG-004,8,OPEN
DIAG-036,P2,API,Fuzzy inspection lookup can resolve an unrelated case,server.py:1290-1296 (id OR number OR product_name ilike),CONDITION-DEPENDENT,Exact identifier resolution only,Search string resolves to wrong inspection detail,ROOT CAUSE STRONGLY INDICATED,Wrong case opened from stale links,Code review,-,8,OPEN
DIAG-037,P2,EVIDENCE,Missing evidence file silently swapped for demo image by product keyword,server.py:659-687 (cookie to sku_demo_01 etc.); CaseWorkspace.tsx:1245-1254 onError swap,CONDITION-DEPENDENT (file missing),Explicit broken-evidence state,Officer shown a different package than the one hashed,ROOT CAUSE CONFIRMED,Evidence substitution risk in court context,Code review both layers,DIAG-006,5,OPEN
DIAG-038,P2,TESTING,Test suite blind spots: PYTEST gate forces fixture path; reduced rule subset in integration tests; frontend tests mock-only,PYTEST_CURRENT_TEST in server.py:785; integration/adapters/pipeline_adapter.py:41-52; ui tests vs mockApi,ALWAYS,Tests exercise real pipeline rules,All pytest pipeline tests bypass real CV/OCR; golden SKU integration checks only Table-I+USP; UI tests assert mock behavior,ROOT CAUSE CONFIRMED,False confidence; real-data defects invisible to CI,Live: 115+271 backend pass while real-data pass rate is 0,DIAG-026 DIAG-032,6,OPEN
DIAG-039,P2,UX,Demo/real boundary relies on small badges inside demo-saturated surfaces,Landing Live Telemetry demo case; Dashboard CERTIFIED DEMO SUITE; Header Demo Cases 7 always visible; Sidebar Demo Scenarios,ALWAYS,Clear physical/digital separation,Certified-demo marketing occupies primary officer surfaces; landing shows fabricated bench hardware and LMO-DL-048,ROOT CAUSE CONFIRMED,Officer confusion between demo and live evidence,Live landing and dashboard snapshots,-,9,OPEN
DIAG-040,P2,FRONTEND,Console errors on core pages (React key warning),StatutoryDeclarationsCard.tsx:141 via CaseWorkspace render,ALWAYS on case page,Zero console errors,Each child in list should have unique key,ROOT CAUSE CONFIRMED,Render instability risk; dev-grade quality signal,Playwright console capture,-,10,OPEN
DIAG-041,P3,FRONTEND,Reports page shows hardcoded 5-case outcome distribution and 4 fabricated documents,Reports.tsx:153-255,ALWAYS,Reports reflect database,Static 2/1/1/1 distribution and fake references LMO/DL/SOUTH/2026/0842,ROOT CAUSE CONFIRMED,Misleading reporting surface,Code review,DIAG-018,10,OPEN
DIAG-042,P3,FRONTEND,Dead or misleading quick actions and status surfaces,Dashboard.tsx:327-343 (Offline Cache and Sync to /rules); Settings.tsx:131 static Mode B; ConnectivityBadge no mount check; getDashboardSummary and verifyAuditChain have zero callers,ALWAYS,Honest status and working links,Quick action leads to rules page; telemetry strings hardcoded,ROOT CAUSE CONFIRMED,False system-state confidence,Code review,-,10,OPEN
DIAG-043,P3,BACKEND,Second /system/status registration is dead code; health returns ONLINE with broken chain flag,server.py:329-344 vs 1957-1980,ALWAYS,Honest health signal,First registration wins; chain_intact false still yields ONLINE,ROOT CAUSE CONFIRMED,Monitoring misses integrity failure,Code review,-,10,OPEN
DIAG-044,P3,EXTRACTION,Non-metric non-banned units pass net-quantity check (oz fl oz lbs),evaluators.py:264-309,CONDITION-DEPENDENT,Rule 12 standard units enforced,Only banned-list consulted; approved-set never enforced,ROOT CAUSE STRONGLY INDICATED,Non-SI declarations pass silently,Code review,DIAG-023,6,OPEN
DIAG-045,P3,LEGAL,Rule 24 multi-pack evaluator accepts and ignores mrp/usp params; consumer care address defaults to pass,evaluators.py:576/361-362/484,ALWAYS,Piece-rate USP and full contact enforcement,Dead parameters; address/name unenforced,ROOT CAUSE CONFIRMED,Partial rule coverage silently,Code review,-,6,OPEN
